release_id,price,status,condition,sleeve_condition,notes,genre_override,decade_override
3701690,,available,Not yet inspected,,,,
5586604,,available,Not yet inspected,,,,
3118294,,available,Not yet inspected,,,,
1922754,,available,Not yet inspected,,,,
1615863,,available,Not yet inspected,,,,
2649722,,available,Not yet inspected,,,,
4854341,,available,Not yet inspected,,,,
3522142,,available,Not yet inspected,,,,
4704907,,available,Not yet inspected,,,,
3602676,,available,Not yet inspected,,,,
5815381,,available,Not yet inspected,,,,
2036138,,available,Not yet inspected,,,,
2598123,,available,Not yet inspected,,,,
2758675,,available,Not yet inspected,,,,
3728023,,available,Not yet inspected,,,,
7766437,,available,Not yet inspected,,,,
4407359,,available,Not yet inspected,,,,
1670776,,available,Not yet inspected,,,,
3606398,,available,Not yet inspected,,,,
5350072,,available,Not yet inspected,,,,
5981254,,available,Not yet inspected,,,,
2901550,,available,Not yet inspected,,,,
5651686,,available,Not yet inspected,,,,
2880501,,available,Not yet inspected,,,,
6004016,,available,Not yet inspected,,,,
6189850,,available,Not yet inspected,,,,
3780243,,available,Not yet inspected,,,,
7941256,,available,Not yet inspected,,,,
4080321,,available,Not yet inspected,,,,
4180797,,available,Not yet inspected,,,,
5460176,,available,Not yet inspected,,,,
4378502,,available,Not yet inspected,,,,
3236604,,available,Not yet inspected,,,,
7538117,,available,Not yet inspected,,,,
12026943,,available,Not yet inspected,,,,
2732736,,available,Not yet inspected,,,,
1799130,,available,Not yet inspected,,,,
1458596,,available,Not yet inspected,,,,
5718899,,available,Not yet inspected,,,,
4200950,,available,Not yet inspected,,,,
2637776,,available,Not yet inspected,,,,
7264303,,available,Not yet inspected,,,,
6207592,,available,Not yet inspected,,,,
3635184,,available,Not yet inspected,,,,
25155370,,available,Not yet inspected,,,,
9170226,,available,Not yet inspected,,,,
4687847,,available,Not yet inspected,,,,
562576,,available,Not yet inspected,,,,
3709217,,available,Not yet inspected,,,,
32443860,,available,Not yet inspected,,,,
2040908,,available,Not yet inspected,,,,
9705055,,available,Not yet inspected,,,,
23257331,,available,Not yet inspected,,,,
9299436,,available,Not yet inspected,,,,
6596891,,available,Not yet inspected,,,,
7043659,,available,Not yet inspected,,,,
8648156,,available,Not yet inspected,,,,
1945830,,available,Not yet inspected,,,,
24263018,,available,Not yet inspected,,,,
3998030,,available,Not yet inspected,,,,
12063557,,available,Not yet inspected,,,,
13865717,,available,Not yet inspected,,,,
2018757,,available,Not yet inspected,,,,
9788861,,available,Not yet inspected,,,,
10911482,,available,Not yet inspected,,,,
5872546,,available,Not yet inspected,,,,
5036623,,available,Not yet inspected,,,,
5071207,,available,Not yet inspected,,,,
6042932,,available,Not yet inspected,,,,
9017525,,available,Not yet inspected,,,,
5716722,,available,Not yet inspected,,,,
9538825,,available,Not yet inspected,,,,
7302965,,available,Not yet inspected,,,,
5981610,,available,Not yet inspected,,,,
4706843,,available,Not yet inspected,,,,
1794187,,available,Not yet inspected,,,,
3980997,,available,Not yet inspected,,,,
3692715,,available,Not yet inspected,,,,
10415320,,available,Not yet inspected,,,,
2880607,,available,Not yet inspected,,,,
2288373,,available,Not yet inspected,,,,
3469734,,available,Not yet inspected,,,,
1202573,,available,Not yet inspected,,,,
3846529,,available,Not yet inspected,,,,
2163170,,available,Not yet inspected,,,,
2952993,,available,Not yet inspected,,,,
4915533,,available,Not yet inspected,,,,
8327004,,available,Not yet inspected,,,,
11886842,,available,Not yet inspected,,,,
1294514,,available,Not yet inspected,,,,
1722238,,available,Not yet inspected,,,,
4264791,,available,Not yet inspected,,,,
3011370,,available,Not yet inspected,,,,
26137457,,available,Not yet inspected,,,,
5251497,,available,Not yet inspected,,,,
7116379,,available,Not yet inspected,,,,
2913961,,available,Not yet inspected,,,,
1318263,,available,Not yet inspected,,,,
5739832,,available,Not yet inspected,,,,
5831880,,available,Not yet inspected,,,,
1838762,,available,Not yet inspected,,,,
2428923,,available,Not yet inspected,,,,
4233497,,available,Not yet inspected,,,,
2797773,,available,Not yet inspected,,,,
2429284,,available,Not yet inspected,,,,
5694292,,available,Not yet inspected,,,,
2891374,,available,Not yet inspected,,,,
3775595,,available,Not yet inspected,,,,
1630330,,available,Not yet inspected,,,,
24111053,,available,Not yet inspected,,,,
